SKU,Description,Fixed MSRP,Component1,Component Description,Componenet FOB,Component MSRP ,Component2,Component Description,Componenet FOB,Component MSRP 
RW-W1542,"Shaker Rustic Wood - Wall Cabinet - 15""W x 42""H x 12""D - 1D - 3S",371,RW-DS-W1542,Door Set RW-W1542,24.10774145,194,UBX-W1542,Cabinet Box for W1542,23.27535054,177
RW-W1542GD,"Shaker Rustic Wood - Wall Glass Door Cabinet - 15""W x 42""H x 12""D - 1D- 3S",411,RW-DS-W1542GD,Door Set RW-W1542GD,24.97137769,234,UBX-W1542,Cabinet Box for W1542,23.27535054,177
RW-W1812GD,"Shaker Rustic Wood - Wall Cabinet - 18""W x 12""H x 12""D - 1D",158,RW-DS-W1812GD,Door Set RW-W1812GD,11.18553151,86,UBX-W1812,Cabinet Box for W1812,9.448248372,72
RW-W1830,"Shaker Rustic Wood - Wall Cabinet - 18""W x 30""H x 12""D - 1D - 2S",321,RW-DS-BFH18/W1830,Door Set RW-BFH18/W1830,19.87626537,166,UBX-W1830,Cabinet Box for W1830,19.7247881,155
RW-W1830GD,"Shaker Rustic Wood - Wall Glass Door Cabinet - 18""W x 30""H x 12""D - 1D -2S",366,RW-DS-W1830GD,Door Set RW-W1830GD,20.63309922,211,UBX-W1830,Cabinet Box for W1830,19.7247881,155
RW-W1836,"Shaker Rustic Wood - Wall Cabinet - 18""W x 36""H x 12""D - 1D -2S",371,RW-DS-W1836,Door Set RW-W1836,22.82904342,195,UBX-W1836,Cabinet Box for W1836,21.85702403,176
RW-W1836GD,"Shaker Rustic Wood - Wall Glass Door Cabinet - 18""W x 36""H x 12""D - 1D -2S",422,RW-DS-W1836GD,Door Set RW-W1836GD,23.77539745,246,UBX-W1836,Cabinet Box for W1836,21.85702403,176
RW-W1842,"Shaker Rustic Wood - Wall Cabinet - 18""W x 42""H x 12""D - 1D -3S",427,RW-DS-W1842,Door Set RW-W1842,26.72524243,225,UBX-W1842,Cabinet Box for W1842,26.02436404,202
RW-W1842GD,"Shaker Rustic Wood - Wall Cabinet - 18""W x 42""H x 12""D - 1D -3S",483,RW-DS-W1842GD,Door Set RW-W1842GD,27.86236348,281,UBX-W1842,Cabinet Box for W1842,26.02436404,202
RW-W2112GD,"Shaker Rustic Wood - Wall Cabinet - 21""W x 12""H x 12""D - 1D",174,RW-DS-W2112GD,Door Set RW-W2112GD,12.41128113,95,UBX-W2112,Cabinet Box for W2112,10.35703563,79
RW-W2130,"Shaker Rustic Wood - Wall Cabinet - 21""W x 30""H x 12""D - 1D -2S",356,RW-DS-BFH21/W2130,Door Set RW-BFH21/W2130,21.91869629,186,UBX-W2130,Cabinet Box for W2130,21.80156809,170
RW-W2136,"Shaker Rustic Wood - Wall Cabinet - 21""W x 36""H x 12""D - 1D -2S",417,RW-DS-W2136,Door Set RW-W2136,25.15806664,220,UBX-W2136,Cabinet Box for W2136,24.1091249,197
RW-W2142,"Shaker Rustic Wood - Wall Cabinet - 21""W x 42""H x 12""D - 1D -3S",468,RW-DS-W2142,Door Set RW-W2142,29.34274342,245,UBX-W2142,Cabinet Box for W2142,28.77337755,223
RW-W2412GD,"Shaker Rustic Wood - Wall Cabinet - 24""W x 12""H x 12""D - 2D",212,RW-DS-W2412GD,Door Set RW-W2412GD,16.06174627,124,UBX-W2412,Cabinet Box for W2412,11.51136164,88
RW-W2418,"Shaker Rustic Wood - Wall Cabinet - 24""W x 18""H x 12""D - 2D",331,RW-DS-W2418,Door Set RW-W2418,20.02090547,211,UBX-W2418,Cabinet Box for W2418,13.9406725,120
RW-W2430,"Shaker Rustic Wood - Wall Cabinet - 24""W x 30""H x 12""D - 2D -2S",416,RW-DS-BFH24/W2430,Door Set RW-BFH24/W2430,28.36668171,232,UBX-W2430/WBC2430,Cabinet Box for W2430/WBC2430,23.97126657,184
RW-W2430GD,"Shaker Rustic Wood - Wall Glass Door Cabinet - 24""W x 30""H x 12""D - 2D -2S",468,RW-DS-W2430GD,Door Set RW-W2430GD,29.17620653,284,UBX-W2430/WBC2430,Cabinet Box for W2430/WBC2430,23.97126657,184
RW-W2436,"Shaker Rustic Wood - Wall Cabinet - 24""W x 36""H x 12""D - 2D -2S",485,RW-DS-W2436,Door Set RW-W2436,32.52588823,274,UBX-W2436,Cabinet Box for W2436,26.40057742,211
RW-W2436GD,"Shaker Rustic Wood - Wall Glass Door Cabinet - 24""W x 36""H x 12""D - 2D -2S",484,RW-DS-W2436GD,Door Set RW-W2436GD,33.53812767,273,UBX-W2436,Cabinet Box for W2436,26.40057742,211
RW-W2442,"Shaker Rustic Wood - Wall Cabinet - 24""W x 42""H x 12""D - 2D -3S",570,RW-DS-W2442,Door Set RW-W2442,38.56044752,323,UBX-W2442/WBC2442,Cabinet Box for W2442/WBC2442,31.60021396,247
RW-W2442GD,"Shaker Rustic Wood - Wall Glass Door Cabinet - 24""W x 42""H x 12""D - 2D -3S",619,RW-DS-W2442GD,Door Set RW-W2442GD,39.77673522,372,UBX-W2442/WBC2442,Cabinet Box for W2442/WBC2442,31.60021396,247
RW-W2712GD,"Shaker Rustic Wood - Wall Cabinet - 27""W x 12""H x 12""D - 2D",229,RW-DS-W2712GD,Door Set RW-W2712GD,17.28749589,133,UBX-W2712,Cabinet Box for W2712,12.4201489,96
RW-W2730,"Shaker Rustic Wood - Wall Cabinet - 27""W x 30""H x 12""D - 2D -2S",455,RW-DS-BFH27/W2730,Door Set RW-BFH27/W2730,30.40911263,253,UBX-W2730/WBC2730,Cabinet Box for W2730/WBC2730,26.04804656,202
RW-W2736,"Shaker Rustic Wood - Wall Cabinet - 27""W x 36""H x 12""D - 2D -2S",523,RW-DS-W2736,Door Set RW-W2736,34.85491145,294,UBX-W2736/WBC2736,Cabinet Box for W2736/WBC2736,28.65267828,229
RW-W2742,"Shaker Rustic Wood - Wall Cabinet - 27""W x 42""H x 12""D - 2D -3S",585,RW-DS-W2742,Door Set RW-W2742,41.1779485,328,UBX-W2742/WBC2742,Cabinet Box for W2742/WBC2742,34.34922746,257
RW-W3012,"Shaker Rustic Wood - Wall Cabinet - 30""W x 12""H x 12""D - 2D",274,RW-DS-W3012/W301224,Door Set RW-W3012/W301224,18.22323608,161,UBX-W3012,Cabinet Box for W3012,13.32893616,113
RW-W301224,"Shaker Rustic Wood - Wall Refrigerator Cabinet-30""W x 12""H x 24""D - 2D",345,RW-DS-W3012/W301224,Door Set RW-W3012/W301224,18.22323608,161,UBX-W301224,Cabinet Box for W301224,22.86375836,184
RW-W3012GD,"Shaker Rustic Wood - Wall Glass Door Cabinet - 30""W x 12""H x 12""D - 2D",292,RW-DS-W3012GD,Door Set RW-W3012GD,18.51324551,179,UBX-W3012,Cabinet Box for W3012,13.32893616,113
RW-W3015,"Shaker Rustic Wood - Wall Cabinet - 30""W x 15""H x 12""D - 2D",310,RW-DS-W3015/W301524,Door Set RW-W3015/W301524,20.58943163,185,UBX-W3015,Cabinet Box for W3015,14.71891246,125
RW-W301524,"Shaker Rustic Wood - Wall Refrigerator Cabinet - 30""W x 15""H x 24""D - 2D",377,RW-DS-W3015/W301524,Door Set RW-W3015/W301524,20.58943163,185,UBX-W301524,Cabinet Box for W301524,24.49231137,192
RW-W3018,"Shaker Rustic Wood - Wall Cabinet - 30""W x 18""H x 12""D - 2D",340,RW-DS-W3018/W301824,Door Set RW-W3018/W301824,22.95562718,204,UBX-W3018,Cabinet Box for W3018,16.10888876,136
RW-W301824,"Shaker Rustic Wood - Wall Refrigerator Cabinet - 30""W x 18""H x 24""D - 2D",420,RW-DS-W3018/W301824,Door Set RW-W3018/W301824,22.95562718,204,UBX-W301824,Cabinet Box for W301824,26.12086437,216
RW-W3018GD,"Shaker Rustic Wood - Wall Cabinet - 30""W x 18""H x 12""D - 2D ",370,RW-DS-W3018GD,Door Set RW-W3018GD,23.53951283,234,UBX-W3018,Cabinet Box for W3018,16.10888876,136
RW-W3024,"Shaker Rustic Wood - Wall Cabinet - 30""W x 24""H x 12""D - 2D - 1S",408,RW-DS-W3024/W302424,Door Set RW-W3024/W302424,27.71915244,233,UBX-W3024,Cabinet Box for W3024,22.12600223,175
RW-W302424,"Shaker Rustic Wood - Wall Refrigerator Cabinet - 30""W x 24""H x 24""D - 2D -1S",505,RW-DS-W3024/W302424,Door Set RW-W3024/W302424,27.71915244,233,UBX-W302424,Cabinet Box for W302424,36.1134048,272
RW-W3030,"Shaker Rustic Wood - Wall Cabinet - 30""W x 30""H x 12""D - 2D -2S",501,RW-DS-BFH30/W3030,Door Set RW-BFH30/W3030,32.45154355,276,UBX-W3030,Cabinet Box for W3030,28.12482655,225
RW-W3030GD,"Shaker Rustic Wood - Wall Glass Door Cabinet - 30""W x 30""H x 12""D -2D-2S",550,RW-DS-W3030GD,Door Set RW-W3030GD,33.62511504,325,UBX-W3030,Cabinet Box for W3030,28.12482655,225
RW-W3036,"Shaker Rustic Wood - Wall Cabinet - 30""W x 36""H x 12""D - 2D -2S",573,RW-DS-W3036,Door Set RW-W3036,37.18393466,321,UBX-W3036,Cabinet Box for W3036,30.90477914,252
RW-W3036GD,"Shaker Rustic Wood - Wall Glass Door Cabinet - 30""W x 36""H x 12""D -2D- 2S",641,RW-DS-W3036GD,Door Set RW-W3036GD,38.65138237,389,UBX-W3036,Cabinet Box for W3036,30.90477914,252
RW-W3042,"Shaker Rustic Wood - Wall Cabinet - 30""W x 42""H x 12""D - 2D -3S",666,RW-DS-W3042,Door Set RW-W3042,43.79544949,371,UBX-W3042,Cabinet Box for W3042,37.09824097,295
RW-W3042GD,"Shaker Rustic Wood - Wall Glass Door Cabinet - 30""W x 42""H x 12""D -2D- 2S",732,RW-DS-W3042GD,Door Set RW-W3042GD,45.55870681,437,UBX-W3042,Cabinet Box for W3042,37.09824097,295
RW-W3312,"Shaker Rustic Wood - Wall Cabinet - 33""W x 12""H x 12""D - 2D",288,RW-DS-W3312/W331224,Door Set RW-W3312/W331224,19.40400464,170,UBX-W3312,Cabinet Box for W3312,14.23772342,118
RW-W331224,"Shaker Rustic Wood - Wall Refrigerator Cabinet-33""W x 12""H x 24""D - 2D",365,RW-DS-W3312/W331224,Door Set RW-W3312/W331224,19.40400464,170,UBX-W331224,Cabinet Box for W331224,24.46458174,195
RW-W3312GD,"Shaker Rustic Wood - Wall Glass Door Cabinet - 33""W x 12""H x 12""D - 2D",312,RW-DS-W3312GD,Door Set RW-W3312GD,19.73899513,194,UBX-W3312,Cabinet Box for W3312,14.23772342,118
RW-W3315,"Shaker Rustic Wood - Wall Cabinet - 33""W x 15""H x 12""D - 2D",317,RW-DS-W3315/W331524,Door Set RW-W3315/W331524,21.91349634,188,UBX-W3315,Cabinet Box for W3315,15.71536016,129
RW-W331524,"Shaker Rustic Wood - Wall Refrigerator Cabinet - 33""W x 15""H x 24""D -2D",395,RW-DS-W3315/W331524,Door Set RW-W3315/W331524,21.91349634,188,UBX-W331524,Cabinet Box for W331524,26.15086236,207
RW-W3318,"Shaker Rustic Wood - Wall Cabinet - 33""W x 18""H x 12""D - 2D",349,RW-DS-W3318/W331824,Door Set RW-W3318/W331824,24.42298804,209,UBX-W3318,Cabinet Box for W3318,17.19299689,140
RW-W331824,"Shaker Rustic Wood - Wall Refrigerator Cabinet - 33""W x 18""H x 24""D -2D",431,RW-DS-W3318/W331824,Door Set RW-W3318/W331824,24.42298804,209,UBX-W331824,Cabinet Box for W331824,27.83714297,222
RW-W3324,"Shaker Rustic Wood - Wall Cabinet - 33""W x 24""H x 12""D - 2D - 1S",416,RW-DS-W3324/W332424,Door Set RW-W3324/W332424,29.47499107,236,UBX-W3324,Cabinet Box for W3324,23.70702301,180
RW-W332424,"Shaker Rustic Wood - Wall Refrigerator Cabinet -33""W x 24""H x 24""D-2D -1S",545,RW-DS-W3324/W332424,Door Set RW-W3324/W332424,29.47499107,236,UBX-W332424,Cabinet Box for W332424,38.6352674,309
RW-W3330,"Shaker Rustic Wood - Wall Cabinet - 33""W x 30""H x 12""D - 2D -2S",525,RW-DS-BFH33/W3330,Door Set RW-BFH33/W3330,34.49397447,287,UBX-W3330,Cabinet Box for W3330,30.20160654,238
RW-W3336,"Shaker Rustic Wood - Wall Cabinet - 33""W x 36""H x 12""D - 2D -2S",623,RW-DS-W3336,Door Set RW-W3336,39.51295787,349,UBX-W3336,Cabinet Box for W3336,33.15688001,274
RW-W3342,"Shaker Rustic Wood - Wall Cabinet - 33""W x 42""H x 12""D - 2D -3S",708,RW-DS-W3342,Door Set RW-W3342,46.41295047,392,UBX-W3342,Cabinet Box for W3342,39.84725447,316
RW-W3612,"Shaker Rustic Wood - Wall Cabinet - 36""W x 12""H x 12""D - 2D",306,RW-DS-W3612/W361224,Door Set RW-W3612/W361224,20.58477321,180,UBX-W3612,Cabinet Box for W3612,15.14651068,126
RW-W361224,"Shaker Rustic Wood - Wall Cabinet - 36""W x 12""H x 24""D - 2D",384,RW-DS-W3612/W361224,Door Set RW-W3612/W361224,20.58477321,180,UBX-W361224,Cabinet Box for W361224,26.06540512,204
RW-W3612GD,"Shaker Rustic Wood - Wall Glass Door Cabinet - 36""W x 12""H x 12""D - 2D",332,RW-DS-W3612GD,Door Set RW-W3612GD,20.96474474,206,UBX-W3612,Cabinet Box for W3612,15.14651068,126
RW-W3615,"Shaker Rustic Wood - Wall Cabinet - 36""W x 15""H x 12""D - 2D",329,RW-DS-W3615/W361524,Door Set RW-W3615/W361524,23.23756106,196,UBX-W3615,Cabinet Box for W3615,16.71180785,133
RW-W361524,"Shaker Rustic Wood - Wall Refrigerator Cabinet - 36""W x 15""H x 24""D - 2D",410,RW-DS-W3615/W361524,Door Set RW-W3615/W361524,23.23756106,196,UBX-W361524,Cabinet Box for W361524,27.80941334,214
RW-W3618,"Shaker Rustic Wood - Wall Cabinet - 36""W x 18""H x 12""D - 2D",369,RW-DS-W3618/W361824,Door Set RW-W3618/W361824,25.8903489,222,UBX-W3618,Cabinet Box for W3618,18.27710502,147
RW-W361824,"Shaker Rustic Wood - Wall Refrigerator Cabinet - 36""W x 18""H x 24""D - 2D",448,RW-DS-W3618/W361824,Door Set RW-W3618/W361824,25.8903489,222,UBX-W361824,Cabinet Box for W361824,29.55342157,226
RW-W3624,"Shaker Rustic Wood - Wall Cabinet - 36""W x 24""H x 12""D - 2D - 1S",479,RW-DS-W3624/W362424,Door Set RW-W3624/W362424,31.2308297,272,UBX-W3624,Cabinet Box for W3624,25.28804378,207
RW-W362424,"Shaker Rustic Wood - Wall Refrigerator Cabinet - 36""W x 24""H x 24""D - 2D -1S",584,RW-DS-W3624/W362424,Door Set RW-W3624/W362424,31.2308297,272,UBX-W362424,Cabinet Box for W362424,41.15712999,312
RW-W3630,"Shaker Rustic Wood - Wall Cabinet - 36""W x 30""H x 12""D - 2D -2S",574,RW-DS-BFH36/W3630,Door Set RW-BFH36/W3630,36.5364054,314,UBX-W3630/WBC3630,Cabinet Box for W3630/WBC3630,32.27838653,260
RW-W3636,"Shaker Rustic Wood - Wall Cabinet - 36""W x 36""H x 12""D - 2D -2S",664,RW-DS-W3636,Door Set RW-W3636,41.84198109,370,UBX-W3636,Cabinet Box for W3636,35.40898087,294
RW-W3642,"Shaker Rustic Wood - Wall Cabinet - 36""W x 42""H x 12""D - 2D -3S",760,RW-DS-W3642,Door Set RW-W3642,49.03045145,419,UBX-W3642/WBC3642,Cabinet Box for W3642/WBC3642,42.59626798,341
RW-W3930,"Shaker Rustic Wood - Wall Cabinet - 39""W x 30""H x 12""D - 2D -2S",592,RW-DS-W3930,Door Set RW-W3930,38.60571041,321,UBX-W3930,Cabinet Box for W3930,34.38249257,271
RW-WBC2430,"Shaker Rustic Wood - Wall Blind Corner Cabinet - 24""W x 30""H x 12""D - 1D -2S",356,RW-DS-WBC2430,Door Set RW-WBC2430,25.99915842,172,UBX-W2430/WBC2430,Cabinet Box for W2430/WBC2430,23.97126657,184
RW-WBC2442,"Shaker Rustic Wood - Wall Blind Corner Cabinet - 24""W x 42""H x 12""D - 1D -3S",479,RW-DS-WBC2442,Door Set RW-WBC2442,35.61322156,232,UBX-W2442/WBC2442,Cabinet Box for W2442/WBC2442,31.60021396,247
RW-WBC2730,"Shaker Rustic Wood - Wall Blind Corner Cabinet - 27""W x 30""H x 12""D - 1D -2S",383,RW-DS-WBC2730,Door Set RW-WBC2730,26.522813,181,UBX-W2730/WBC2730,Cabinet Box for W2730/WBC2730,26.04804656,202
RW-WBC2736,"Shaker Rustic Wood - Wall Blind Corner Cabinet - 27""W x 36""H x 12""D - 1D -2S",432,RW-DS-WBC2736,Door Set RW-WBC2736,30.89220692,203,UBX-W2736/WBC2736,Cabinet Box for W2736/WBC2736,28.65267828,229
RW-WBC2742,"Shaker Rustic Wood - Wall Blind Corner Cabinet - 27""W x 42""H x 12""D - 1D -3S",508,RW-DS-WBC2742,Door Set RW-WBC2742,36.21434164,251,UBX-W2742/WBC2742,Cabinet Box for W2742/WBC2742,34.34922746,257
RW-WBC3630,"Shaker Rustic Wood - Wall Blind Corner Cabinet - 36""W x 30""H x 12""D - 1D -2S",488,RW-DS-WBC3630,Door Set RW-WBC3630,28.09377673,228,UBX-W3630/WBC3630,Cabinet Box for W3630/WBC3630,32.27838653,260
RW-WBC3642,"Shaker Rustic Wood - Wall Blind Corner Cabinet - 36""W x 42""H x 12""D - 1D -3S",653,RW-DS-WBC3642,Door Set RW-WBC3642,37.09370709,312,UBX-W3642/WBC3642,Cabinet Box for W3642/WBC3642,42.59626798,341
RW-WD1848,"Shaker Rustic Wood - Wall With Drawer Cabinet-18""W x 48""H x 12""D- 1D, 2 DRW -2S",580,RW-DS-WD1848,Door Set RW-WD1848,32.90040505,203,UBX-WD1848,Cabinet Box for WD1848,68.35450421,377
RW-WD1854,"Shaker Rustic Wood - Wall With Drawer Cabinet-18""W x 54""H x 12""D- 1D, 2 DRW -2S",636,RW-DS-WD1854,Door Set RW-WD1854,35.87260927,230,UBX-WD1854,Cabinet Box for WD1854,70.50076801,406
RW-WD1860,"Shaker Rustic Wood - Wall With Drawer Cabinet-18""W x 60""H x 12""D- 1D, 2 DRW -3S",685,RW-DS-WD1860,Door Set RW-WD1860,38.82538733,255,UBX-WD1860,Cabinet Box for WD1860,72.63300394,430
RW-WER2430,"Shaker Rustic Wood - Wall Easy Reach Corner Cabinet - 24"" W X 30"" H X 12"" D - 2D - 2S",529,RW-DS-WER2430,Door Set RW-WER2430,25.78800652,187,UBX-WER2430,Cabinet Box for WER2430,52.75505789,342
RW-WER2436,"Shaker Rustic Wood - Wall Easy Reach Corner Cabinet - 24"" W X 36"" H X 12"" D - 2D - 2S",634,RW-DS-WER2436,Door Set RW-WER2436,29.10520567,226,UBX-WER2436,Cabinet Box for WER2436,58.76812591,408
RW-WER2442,"Shaker Rustic Wood - Wall Easy Reach Corner Cabinet - 24"" W X 42"" H X 12"" D - 2D - 2S",744,RW-DS-WER2442,Door Set RW-WER2442,32.4442285,267,UBX-WER2442,Cabinet Box for WER2442,64.8207536,477
RW-O308424,"Shaker Rustic Wood - Oven Cabinet - 30""W x 84""H X 24""D - 2D, 3DRW, 1S",1630,RW-DS-O308424,Door Set RW-O308424,83.53402647,600,UBX-O308424,Cabinet Box for O308424,141.9177295,1030
RW-O309024,"Shaker Rustic Wood - Oven Cabinet - 30""W x 90""H X 24""D - 2D, 3DRW, 1S",1770,RW-DS-O309024,Door Set RW-O309024,83.14887611,630,UBX-O309024,Cabinet Box for O309024,164.7778978,1140
RW-O309624,"Shaker Rustic Wood - Oven Cabinet - 30""W x 96""H X 24""D - 2D, 3DRW, 1S",1922,RW-DS-O309624,Door Set RW-O309624,88.0212816,706,UBX-O309624,Cabinet Box for O309624,168.621791,1216
RW-O338424,"Shaker Rustic Wood - Oven Cabinet - 33""W x 84""H X 24""D - 2D, 3DRW, 1S",1778,RW-DS-O338424,Door Set RW-O338424,84.21302136,644,UBX-O338424,Cabinet Box for O338424,162.4955446,1134
RW-O339024,"Shaker Rustic Wood - Oven Cabinet - 33""W x 90""H X 24""D - 2D, 3DRW, 1S",1863,RW-DS-O339024,Door Set RW-O339024,89.89275453,677,UBX-O339024,Cabinet Box for O339024,173.2210278,1186
RW-O339624,"Shaker Rustic Wood - Oven Cabinet - 33""W x 96""H X 24""D - 2D, 3DRW, 1S",2030,RW-DS-O339624,Door Set RW-O339624,95.09216292,753,UBX-O339624,Cabinet Box for O339624,177.2009561,1277
RW-U188424,"Shaker Rustic Wood - Wall Pantry - 18""W x 84""H x 24""D - 2D, 5S",1159,RW-DS-U188424,Door Set RW-U188424,50.97839091,481,UBX-U188424,Cabinet Box for U188424,79.47439762,678
RW-U189024,"Shaker Rustic Wood - Wall Pantry - 18""W x 90""H x 24""D - 2D, 5S",1193,RW-DS-U189024,Door Set RW-U189024,54.04473736,498,UBX-U189024,Cabinet Box for U189024,82.81205831,695
RW-U189624,"Shaker Rustic Wood - Wall Pantry - 18""W x 96""H x 24""D - 2D, 5S",1250,RW-DS-U189624,Door Set RW-U189624,58.07061684,533,UBX-U189624,Cabinet Box for U189624,86.20235492,717
RW-U248424,"Shaker Rustic Wood - Wall Pantry - 24""W x 84""H x 24""D - 4D, 5S",1390,RW-DS-U248424,Door Set RW-U248424,73.42585856,644,UBX-U248424,Cabinet Box for U248424,92.2906212,746
RW-U249024,"Shaker Rustic Wood - Wall Pantry - 24""W x 90""H x 24""D - 4D, 5S",1442,RW-DS-U249024,Door Set RW-U249024,77.74503456,676,UBX-U249024,Cabinet Box for U249024,95.76166813,766
RW-U249624,"Shaker Rustic Wood - Wall Pantry - 24""W x 96""H x 24""D - 4D, 5S",1514,RW-DS-U249624,Door Set RW-U249624,83.98327665,724,UBX-U249624,Cabinet Box for U249624,99.33798688,790
RW-U308424,"Shaker Rustic Wood - Wall Pantry - 30""W x 84""H x 24""D - 4D, 5S",1768,RW-DS-U308424,Door Set RW-U308424,83.53402647,837,UBX-U308424,Cabinet Box for U308424,107.497745,931
RW-U309024,"Shaker Rustic Wood - Wall Pantry - 30""W x 90""H x 24""D - 4D, 5S",1906,RW-DS-U309024,Door Set RW-U309024,88.44843262,941,UBX-U309024,Cabinet Box for U309024,111.2996376,965
RW-U309624,"Shaker Rustic Wood - Wall Pantry - 30""W x 96""H x 24""D - 4D, 5S",2050,RW-DS-U309624,Door Set RW-U309624,95.28190486,1050,UBX-U309624,Cabinet Box for U309624,115.206802,1000
RW-3VDB12,"Shaker Rustic Wood - Vanity Drawer Base Cabinet - 12""W x 34 1/2""H x 21""D - 3 DRW",579,RW-DS-3DB12/3VDB12,Door Set RW-3DB12/3VDB12,15.99788179,130,UBX-3VDB12,Cabinet Box for 3VDB12,68.14970086,449
RW-3VDB15,"Shaker Rustic Wood - Vanity Drawer Base Cabinet - 15""W x 34 1/2""H x 21""D - 3 DRW",630,RW-DS-3DB15/3VDB15,Door Set RW-3DB15/3VDB15,18.90072921,151,UBX-3VDB15,Cabinet Box for 3VDB15,72.25302026,479
RW-3VDB18,"Shaker Rustic Wood - Vanity Drawer Base Cabinet - 18""W x 34 1/2""H x 21""D - 3 DRW",681,RW-DS-3DB18/3VDB18,Door Set RW-3DB18/3VDB18,21.80357662,172,UBX-3VDB18,Cabinet Box for 3VDB18,76.35633966,509
RW-3VDB21,"Shaker Rustic Wood - Vanity Drawer Base Cabinet - 21""W x 34 1/2""H x 21""D - 3 DRW",722,RW-DS-3DB21/3VDB21,Door Set RW-3DB21/3VDB21,24.70642404,192,UBX-3VDB21,Cabinet Box for 3VDB21,80.45965906,530
RW-3VDB24,"Shaker Rustic Wood - Vanity Drawer Base Cabinet - 24""W x 34 1/2""H x 21""D - 3 DRW",804,RW-DS-3DB24/3VDB24,Door Set RW-3DB24/3VDB24,27.64746682,221,UBX-3VDB24,Cabinet Box for 3VDB24,85.08929109,583
RW-V3021DL,"Shaker Rustic Wood - Vanity Sink Base - 30""W x 34 1/2"" x 21""D - 1D, 3 Left DRW",853,RW-DS-V3021DL,Door Set RW-V3021DL,40.65285352,342,UBX-V3021DL,Cabinet Box for V3021DL,70.39811058,511
RW-V3021DR,"Shaker Rustic Wood - Vanity Sink Base - 30""W x 34 1/2"" x 21""D - 1D, 3 Right DRW",853,RW-DS-V3021DR,Door Set RW-V3021DR,40.65285352,342,UBX-V3021DR,Cabinet Box for V3021DR,70.39811058,511
RW-V3321DL,"Shaker Rustic Wood - Vanity Sink Base - 33""W x 34 1/2"" x 21""D - 1D, 3 Left DRW",867,RW-DS-V3321DL,Door Set RW-V3321DL,43.08029668,336,UBX-V3321DL,Cabinet Box for V3321DL,75.20882226,531
RW-V3321DR,"Shaker Rustic Wood - Vanity Sink Base - 33""W x 34 1/2"" x 21""D - 1D, 3 Right DRW",867,RW-DS-V3321DR,Door Set RW-V3321DR,43.08029668,336,UBX-V3321DR,Cabinet Box for V3321DR,75.20882226,531
RW-V3621DL,"Shaker Rustic Wood - Vanity Sink Base - 36""W x 34 1/2"" x 21""D - 1D, 3 Left DRW",893,RW-DS-V3621DL,Door Set RW-V3621DL,45.53063899,354,UBX-V3621DL,Cabinet Box for V3621DL,76.54206446,539
RW-V3621DR,"Shaker Rustic Wood - Vanity Sink Base - 36""W x 34 1/2"" x 21""D - 1D, 3 Right DRW",893,RW-DS-V3621DR,Door Set RW-V3621DR,45.53063899,354,UBX-V3621DR,Cabinet Box for V3621DR,76.54206446,539
RW-VS24,"Shaker Rustic Wood - Vanity Sink Base Cabinet - 24""W x 34 1/2""H x 21""D",447,RW-DS-VS24,Door Set RW-VS24,30.05847259,254,UBX-VS24,Cabinet Box for VS24,24.3777196,193
RW-VS27,"Shaker Rustic Wood - Vanity Sink Base Cabinet - 27""W x 34 1/2""H x 21""D",479,RW-DS-SB27/VS27,Door Set RW-SB27/VS27,32.46678882,276,UBX-VS27,Cabinet Box for VS27,25.84446652,203
RW-VS30,"Shaker Rustic Wood - Vanity Sink Base Cabinet - 30""W x 34 1/2""H x 21""D",515,RW-DS-SB30/VS30,Door Set RW-SB30/VS30,35.5494283,308,UBX-VS30,Cabinet Box for VS30,27.46628438,207
RW-VS33,"Shaker Rustic Wood - Vanity Sink Base Cabinet - 33""W x 34 1/2""H x 21""D",555,RW-DS-SB33/VS33,Door Set RW-SB33/VS33,37.95774453,330,UBX-VS33,Cabinet Box for VS33,28.93303129,225
RW-VS36,"Shaker Rustic Wood - Vanity Sink Base Cabinet - 36""W x 34 1/2""H x 21""D",578,RW-DS-SB36/VS36,Door Set RW-SB36/VS36,40.36606076,360,UBX-VS36,Cabinet Box for VS36,30.3997782,218
RW-VSD36,"Shaker Rustic Wood - Vanity Sink Drawer Base Cabinet - 36""W x 34 1/2""H x 21""D - 2 DRW, 2D",793,RW-DS-VSD36,Door Set RW-VSD36,41.31508149,362,UBX-VSD36,Cabinet Box for VSD36,53.77020886,431
RW-VSD42,"Shaker Rustic Wood - Vanity Sink Drawer Base Cabinet - 42""W x 34 1/2""H x 21""D - 2 DRW, 2D",883,RW-DS-VSD42,Door Set RW-VSD42,48.02591979,421,UBX-VSD42,Cabinet Box for VSD42,56.84088858,462
RW-VSD48,"Shaker Rustic Wood - Vanity Sink Drawer Base Cabinet - 48""W x 34 1/2""H x 21""D - 2 DRW, 2D",964,RW-DS-VSD48,Door Set RW-VSD48,52.8808061,466,UBX-VSD48,Cabinet Box for VSD48,60.93601883,498
SIB-2DB24,"Slim Iron Black - Drawer Base Cabinet - 24""W x  34-1/2""H x 24""D - 2DRW",698,SIB-DS-2DB24,Door Set SIB-2DB24,25.497,160,UBX-2DB24,Cabinet Box for 2DB24,82.467,538
SIB-2DB30,"Slim Iron Black - Drawer Base Cabinet - 30""W x  34-1/2""H x 24""D - 2DRW",783,SIB-DS-2DB30,Door Set SIB-2DB30,30.618,191,UBX-2DB30,Cabinet Box for 2DB30,91.746,592
