SKU,Description,Fixed MSRP,Component1,Component Description,Componenet FOB,Component MSRP ,Component2,Component Description,Componenet FOB,Component MSRP 
SB-W1830GD,"Shaker Sage Breeze - Wall Glass Door Cabinet - 18""W x 30""H x 12""D - 1D -2S",348,SB-DS-W1830GD,Door Set SB-W1830GD,20.0888973,193,UBX-W1830,Cabinet Box for W1830,19.7247881,155
SB-W1836,"Shaker Sage Breeze - Wall Cabinet - 18""W x 36""H x 12""D - 1D -2S",354,SB-DS-W1836,Door Set SB-W1836,22.20948283,178,UBX-W1836,Cabinet Box for W1836,21.85702403,176
SB-W1836GD,"Shaker Sage Breeze - Wall Glass Door Cabinet - 18""W x 36""H x 12""D - 1D -2S",416,SB-DS-W1836GD,Door Set SB-W1836GD,23.15583686,240,UBX-W1836,Cabinet Box for W1836,21.85702403,176
SB-W1842,"Shaker Sage Breeze - Wall Cabinet - 18""W x 42""H x 12""D - 1D -3S",404,SB-DS-W1842,Door Set SB-W1842,26.0298274,202,UBX-W1842,Cabinet Box for W1842,26.02436404,202
SB-W1842GD,"Shaker Sage Breeze - Wall Cabinet - 18""W x 42""H x 12""D - 1D -3S",459,SB-DS-W1842GD,Door Set SB-W1842GD,27.16694845,257,UBX-W1842,Cabinet Box for W1842,26.02436404,202
SB-W2112GD,"Shaker Sage Breeze - Wall Cabinet - 21""W x 12""H x 12""D - 1D",169,SB-DS-W2112GD,Door Set SB-W2112GD,12.05597165,90,UBX-W2112,Cabinet Box for W2112,10.35703563,79
SB-W2130,"Shaker Sage Breeze - Wall Cabinet - 21""W x 30""H x 12""D - 1D -2S",336,SB-DS-BFH21/W2130,Door Set SB-BFH21/W2130,21.33681503,166,UBX-W2130,Cabinet Box for W2130,21.80156809,170
SB-W2136,"Shaker Sage Breeze - Wall Cabinet - 21""W x 36""H x 12""D - 1D -2S",397,SB-DS-W2136,Door Set SB-W2136,24.50082672,200,UBX-W2136,Cabinet Box for W2136,24.1091249,197
SB-W2142,"Shaker Sage Breeze - Wall Cabinet - 21""W x 42""H x 12""D - 1D -3S",443,SB-DS-W2142,Door Set SB-W2142,28.60964905,220,UBX-W2142,Cabinet Box for W2142,28.77337755,223
SB-W2412GD,"Shaker Sage Breeze - Wall Cabinet - 24""W x 12""H x 12""D - 2D",206,SB-DS-W2412GD,Door Set SB-W2412GD,15.61835308,118,UBX-W2412,Cabinet Box for W2412,11.51136164,88
SB-W2418,"Shaker Sage Breeze - Wall Cabinet - 24""W x 18""H x 12""D - 2D",287,SB-DS-W2418,Door Set SB-W2418,19.45191451,167,UBX-W2418,Cabinet Box for W2418,13.9406725,120
SB-W2430,"Shaker Sage Breeze - Wall Cabinet - 24""W x 30""H x 12""D - 2D -2S",394,SB-DS-BFH24/W2430,Door Set SB-BFH24/W2430,27.5456689,210,UBX-W2430/WBC2430,Cabinet Box for W2430/WBC2430,23.97126657,184
SB-W2430GD,"Shaker Sage Breeze - Wall Glass Door Cabinet - 24""W x 30""H x 12""D - 2D -2S",443,SB-DS-W2430GD,Door Set SB-W2430GD,28.35519373,259,UBX-W2430/WBC2430,Cabinet Box for W2430/WBC2430,23.97126657,184
SB-W2436,"Shaker Sage Breeze - Wall Cabinet - 24""W x 36""H x 12""D - 2D -2S",462,SB-DS-W2436,Door Set SB-W2436,31.57927765,251,UBX-W2436,Cabinet Box for W2436,26.40057742,211
SB-W2436GD,"Shaker Sage Breeze - Wall Glass Door Cabinet - 24""W x 36""H x 12""D - 2D -2S",461,SB-DS-W2436GD,Door Set SB-W2436GD,32.59151709,250,UBX-W2436,Cabinet Box for W2436,26.40057742,211
